prices,Global Commodities Prices Visualization,Prices Visualization,1,"1,000 years of commodity prices",2012-10-26,1,1,http://resources.amdigital.co.uk/gc/price/
chronology,Empires Online Chronology,EO Chronology,1,Getting students to interact with history,2012-07-11,1,1,http://resources.amdigital.co.uk/gc/time/
climatecommons,Climate Commons,,8,Climate data meets climate journalism,2013-04-03,1,1,http://climatecommons.earthjournalism.net/map/
vilnius,Exploring the Vilnius Ghetto,The Vilnius Ghetto,19,A digital monument to the Jewish ghetto,2013-05-03,1,1,http://revilna.org
wntb,Why Not the Best?,,10,Mapping ever-changing hospital data,2013-04-25,1,1,http://whynotthebest.org/map/
nyt,New York Times: Remembering 9/11,Remembering 9/11,15,User-collected memories of 9/11,2011-09-11,1,1,http://www.nytimes.com/interactive/2011/09/08/us/sept-11-reckoning/where-were-you-september-11-map.html
lowlife,London Low Life,,1,Experiencing Victorian London,2011-11-10,0,1,https://www.youtube.com/watch?v=7i8anD9okmE
mapc,MAPC Basemap,,11,Elegant and flexible base cartography,2012-05-07,0,1,http://tiles.mapc.org/#15/42.3577/-71.0610
duke,Duke University Children's Environmental Health Initiative,Duke CEHI,6,Facilitating meaningful comparisons,2011-07-26,0,1,
idph,Illinois Department of Public Health Map,Illinois Public Health,10,Dynamic health dashboard,2013-11-13,1,1,http://map-idph-ipro-org.bitnamiapp.com/
typographic,Typographic Maps,,2,,2010-09-30,0,1,http://store.axismaps.com
wntb_ipad,Why Not the Best iPad Map,,10,,2012-01-30,0,0,
romanticism,Romanticism,,1,,2011-12-02,0,1,
china,China Chronology,,1,,2012-03-12,0,1,
wwi,First World War,,1,,2011-10-18,0,1,
rockandroll,Rock and Roll Chronology,,1,,2011-11-28,0,1,
palestine,Imagining the Israeli-Palestinian Border,,18,,2011-01-20,0,0,http://www.washingtoninstitute.org/interactiveMaps/index.html
dekorra,Dekorra Economic Development Map,,17,,2011-02-04,0,0,
deathsdoor,Death's Door Spirits Locator,,5,,2010-11-18,0,0,http://deathsdoorspirits.com/pages/availability/availability.php
border,Border Fence Map,,13,,2010-05-28,0,1,
arboretum,UW Arboretum Map,,16,,2010-10-30,0,0,http://uwarboretum.org/map/
revolt,Slave Revolt in Jamaica,,9,Slave insurrection in the British Empire,2013-09-04,1,1,http://revolt.axismaps.com
brandeis,American Jewish Population Map,American Jewish Population,3,Nationwide population study,2013-09-27,1,1,http://ajpp.brandeis.edu
musqueam,Musqueam Place Names Map,Place Names Map,12,Preserving language and heritage,2013-04-24,1,1,
cap,Mapping Pacific Voyages,,1,Animating historic sea voyages,2013-11-21,1,1,
oil,Global Commodities Oil Visualization,Oil Visualization,1,Revealing the globe's energy history,2013-06-15,1,1,http://resources.amdigital.co.uk/gc/oil/
election2012,Shedding Light on Election Demographics - 2012,Election 2012,2,,2012-11-09,0,1,http://www.axismaps.com/election2012/
aihc,American Indian History and Culture,American Indian,1,,2013-09-22,0,1,
wwi_chron,World War I Chronology,WWI Chronology,1,,2014-06-26,0,1,
archives_direct,Archives Direct Map Browser,Archives Direct,1,,2014-06-19,0,1,
million_hearts,Million Hearts Map,Million Hearts,10,,2014-05-06,0,0,
ekuatorial,Ekuatorial Indonesia,,8,,2014-01-24,0,1,http://ekuatorial.com
esri_color,ESRI Color Browser,ESRI Colors,7,,2014-05-02,0,1,
gas_leaks,Massachussets Triple Threat,Gas Leaks,4,Understanding the impact of natural gas leaks in and around Boston,2014-03-03,0,1,http://clf.org/map/
jobs,Geography of Jobs,,14,Visualizing 15 years of job growth / loss,2014-09-02,1,1,http://tipstrategies.com/geography-of-jobs/
gc_maps,Global Commodities Static Maps,Commodities Maps,1,,2012-10-29,0,1,
