1,Adam Matthew Digital,AMD
2,Axis Maps,
3,Brandeis University,Brandeis
4,Conservation Law Foundation,CLF
5,Death's Door Spirits,
6,Duke University,
7,ESRI,
8,Earth Journalism Network,EJN
9,Harvard History Design Studio,Harvard
10,IPRO,
11,MAPC,
12,Musqueam Indian Band,Musqueam
13,Popular Mechanics,
14,TIP Strategies,
15,The New York Times,New York Times
16,University of Wisconsin Arboretum,
17,Vandewalle and Associates,
18,Washington Institute for Near East Policy,
19,reVilna,
